,,Zhang(A —> B),Zhang(B —> A),Support A,Support B,(A U B)
BCoV,BEVE,0.6668156224863706,0.47588978185993125,0.4109347442680776,0.1746031746031746,0.11816578483245149
BCoV,BHKV,0.22896312637882132,0.14511135523819038,0.4109347442680776,0.07054673721340388,0.03350970017636684
BCoV,BHV1,0.7674650698602794,0.4827369742623981,0.4109347442680776,0.06349206349206349,0.047619047619047616
BCoV,BNV,-0.362899380066762,-0.2601709401709401,0.4109347442680776,0.04585537918871252,0.014109347442680775
BCoV,BPIV3,0.5058632734530938,0.32121356147021546,0.4109347442680776,0.07231040564373897,0.042328042328042326
BCoV,BPV,0.16287425149700593,0.09784172661870501,0.4109347442680776,0.019400352733686066,0.008818342151675485
BCoV,BRSV,-0.2036242250834524,-0.1337719298245613,0.4109347442680776,0.024691358024691357,0.008818342151675485
BCoV,BVDV1,0.457418496340652,0.2772736438798145,0.4109347442680776,0.02821869488536155,0.015873015873015872
BCoV,BrAv,0.32353474868444926,0.21526017143547024,0.4109347442680776,0.1146384479717813,0.0582010582010582
BCoV,BrBv,0.5576164743683365,0.4301244860023658,0.4109347442680776,0.23633156966490299,0.14462081128747795
BCoV,Histophilus,-0.1734910876541776,-0.15171597633136077,0.4109347442680776,0.30864197530864196,0.1128747795414462
BCoV,IDV,0.4020530367835758,0.26074895977808604,0.4109347442680776,0.09171075837742504,0.04938271604938271
BCoV,Mannheimia,-0.19137229008473658,-0.2317739570838333,0.4109347442680776,0.5379188712522046,0.19400352733686066
BCoV,Moraxella,-0.13507542420455967,-0.21809941520467807,0.4109347442680776,0.6701940035273368,0.25220458553791886
BCoV,Mycoplasma,-0.11887230775288425,-0.1732667584940313,0.4109347442680776,0.6208112874779541,0.23633156966490299
BCoV,Pasteurella,-0.14453828049286996,-0.17287630402384496,0.4109347442680776,0.5238095238095238,0.19576719576719576
BEVE,BHKV,0.5064102564102565,0.4497153700189754,0.1746031746031746,0.07054673721340388,0.021164021164021163
BEVE,BHV1,0.6257396449704143,0.5514993481095176,0.1746031746031746,0.06349206349206349,0.02292768959435626
BEVE,BNV,0.5240384615384616,0.4533271719038818,0.1746031746031746,0.04585537918871252,0.014109347442680775
BEVE,BPIV3,0.7550607287449395,0.6718030818491095,0.1746031746031746,0.07231040564373897,0.03350970017636684
BEVE,BPV,-0.5272727272727272,-0.484230055658627,0.1746031746031746,0.019400352733686066,0.001763668430335097
BEVE,BRSV,0.22435897435897448,0.18987341772151906,0.1746031746031746,0.024691358024691357,0.005291005291005291
BEVE,BVDV1,0.903846153846154,0.7676950998185118,0.1746031746031746,0.02821869488536155,0.019400352733686066
BEVE,BrAv,-0.14049586776859493,-0.13223854796888496,0.1746031746031746,0.1146384479717813,0.01763668430335097
BEVE,BrBv,0.6866096866096867,0.7421093148575828,0.1746031746031746,0.23633156966490299,0.09523809523809523
BEVE,Histophilus,-0.39002932551319647,-0.43291139240506327,0.1746031746031746,0.30864197530864196,0.03527336860670194
BEVE,IDV,0.29487179487179493,0.2679611650485437,0.1746031746031746,0.09171075837742504,0.021164021164021163
BEVE,Mannheimia,-0.2241498959056211,-0.3403981264637002,0.1746031746031746,0.5379188712522046,0.07583774250440917
BEVE,Moraxella,-0.14850367024280064,-0.30385109114249026,0.1746031746031746,0.6701940035273368,0.10229276895943562
BEVE,Mycoplasma,-0.06740878169449585,-0.13594789356984455,0.1746031746031746,0.6208112874779541,0.10229276895943562
BEVE,Pasteurella,-0.13364722926475922,-0.21097770154373943,0.1746031746031746,0.5238095238095238,0.08112874779541446
BHKV,BHV1,0.3927893738140418,0.38983050847457634,0.07054673721340388,0.06349206349206349,0.007054673721340388
BHKV,BNV,0.7469955724225175,0.7276648182378311,0.07054673721340388,0.04585537918871252,0.010582010582010581
BHKV,BPIV3,0.038583175205566214,0.038656527249683256,0.07054673721340388,0.07231040564373897,0.005291005291005291
BHKV,BPV,-1.0,-1.0,0.07054673721340388,0.019400352733686066,0.0
BHKV,BRSV,0.5445920303605313,0.5189873417721519,0.07054673721340388,0.024691358024691357,0.003527336860670194
BHKV,BVDV1,0.8330170777988615,0.7967332123411979,0.07054673721340388,0.02821869488536155,0.008818342151675485
BHKV,BrAv,-0.36250000000000004,-0.3738045738045738,0.07054673721340388,0.1146384479717813,0.005291005291005291
BHKV,BrBv,0.29353379068749097,0.3572570616450525,0.07054673721340388,0.23633156966490299,0.02292768959435626
BHKV,Histophilus,-0.28569277108433727,-0.3496774193548386,0.07054673721340388,0.30864197530864196,0.015873015873015872
BHKV,IDV,0.41808981657179006,0.42783171521035607,0.07054673721340388,0.09171075837742504,0.010582010582010581
BHKV,Mannheimia,-0.5070578231292517,-0.6741661955907294,0.07054673721340388,0.5379188712522046,0.019400352733686066
BHKV,Moraxella,-0.22931754874651805,-0.45609418282548475,0.07054673721340388,0.6701940035273368,0.037037037037037035
BHKV,Mycoplasma,-0.28997005988023944,-0.5002582644628097,0.07054673721340388,0.6208112874779541,0.031746031746031744
BHKV,Pasteurella,-0.5409407665505227,-0.696969696969697,0.07054673721340388,0.5238095238095238,0.01763668430335097
BHV1,BNV,0.7740112994350282,0.7597042513863216,0.06349206349206349,0.04585537918871252,0.010582010582010581
BHV1,BPIV3,-1.0,-1.0,0.06349206349206349,0.07231040564373897,0.0
BHV1,BPV,0.8192090395480227,0.7823741007194247,0.06349206349206349,0.019400352733686066,0.005291005291005291
BHV1,BRSV,0.5932203389830508,0.5696202531645569,0.06349206349206349,0.024691358024691357,0.003527336860670194
BHV1,BVDV1,0.9593220338983051,0.9245009074410164,0.06349206349206349,0.02821869488536155,0.01763668430335097
BHV1,BrAv,0.7288135593220338,0.7709163346613546,0.06349206349206349,0.1146384479717813,0.02292768959435626
BHV1,BrBv,-0.5461538461538461,-0.5960820895522388,0.06349206349206349,0.23633156966490299,0.007054673721340388
BHV1,Histophilus,0.6850738108255879,0.9279953917050693,0.06349206349206349,0.30864197530864196,0.054673721340388004
BHV1,IDV,0.36271186440677966,0.3739805825242719,0.06349206349206349,0.09171075837742504,0.008818342151675485
BHV1,Mannheimia,0.4934086629001883,1.0,0.06349206349206349,0.5379188712522046,0.06349206349206349
BHV1,Moraxella,0.352165725047081,0.9999999999999999,0.06349206349206349,0.6701940035273368,0.06349206349206349
BHV1,Mycoplasma,0.40489642184557445,1.0000000000000002,0.06349206349206349,0.6208112874779541,0.06349206349206349
BHV1,Pasteurella,0.5084745762711864,1.0,0.06349206349206349,0.5238095238095238,0.06349206349206349
BNV,BPIV3,-1.0,-1.0,0.04585537918871252,0.07231040564373897,0.0
BNV,BPV,0.7837338262476896,0.7625899280575541,0.04585537918871252,0.019400352733686066,0.003527336860670194
BNV,BRSV,0.3752310536044362,0.36708860759493667,0.04585537918871252,0.024691358024691357,0.001763668430335097
BNV,BVDV1,0.9839802834257546,0.9661222020568663,0.04585537918871252,0.02821869488536155,0.021164021164021163
BNV,BrAv,0.7640732649974794,0.8234335385729807,0.04585537918871252,0.1146384479717813,0.019400352733686066
BNV,BrBv,-0.02463942307692299,-0.03059701492537303,0.04585537918871252,0.23633156966490299,0.010582010582010581
BNV,Histophilus,0.4873690696241528,0.6726190476190477,0.04585537918871252,0.30864197530864196,0.026455026455026454
BNV,IDV,0.7703840624358185,0.809277238403452,0.04585537918871252,0.09171075837742504,0.015873015873015872
BNV,Mannheimia,0.13193160813308677,0.2724236641221372,0.04585537918871252,0.5379188712522046,0.02821869488536155
BNV,Moraxella,-0.025535070989616337,-0.07046783625730964,0.04585537918871252,0.6701940035273368,0.029982363315696647
BNV,Mycoplasma,0.24249625913211872,0.6101882613510522,0.04585537918871252,0.6208112874779541,0.037037037037037035
BNV,Pasteurella,0.15596118299445472,0.3125,0.04585537918871252,0.5238095238095238,0.02821869488536155
BPIV3,BPV,-1.0,-1.0,0.07231040564373897,0.019400352733686066,0.0
BPIV3,BRSV,0.8051330798479087,0.7658227848101267,0.07231040564373897,0.024691358024691357,0.007054673721340388
BPIV3,BVDV1,-1.0,-1.0,0.07231040564373897,0.02821869488536155,0.0
BPIV3,BrAv,-0.15873650539784082,-0.165072765072765,0.07231040564373897,0.1146384479717813,0.007054673721340388
BPIV3,BrBv,0.5805721528154988,0.705267788408666,0.07231040564373897,0.23633156966490299,0.037037037037037035
BPIV3,Histophilus,-0.7762336925694838,-0.8231578947368421,0.07231040564373897,0.30864197530864196,0.005291005291005291
BPIV3,IDV,0.4989136338946225,0.5095700416088766,0.07231040564373897,0.09171075837742504,0.012345679012345678
BPIV3,Mannheimia,-0.289729091062537,-0.45022950819672153,0.07231040564373897,0.5379188712522046,0.02821869488536155
BPIV3,Moraxella,0.02009777294948398,0.05653170359052714,0.07231040564373897,0.6701940035273368,0.04938271604938271
BPIV3,Mycoplasma,-0.14471544715447143,-0.2927631578947366,0.07231040564373897,0.6208112874779541,0.03880070546737213
BPIV3,Pasteurella,-0.3175921120913337,-0.4755244755244756,0.07231040564373897,0.5238095238095238,0.026455026455026454
BPV,BRSV,0.8812949640287772,0.8860759493670887,0.019400352733686066,0.024691358024691357,0.003527336860670194
BPV,BVDV1,0.9142685851318946,0.9225650332728372,0.019400352733686066,0.02821869488536155,0.005291005291005291
BPV,BrAv,0.591127098321343,0.6547144754316069,0.019400352733686066,0.1146384479717813,0.005291005291005291
BPV,BrBv,-0.2341597796143251,-0.2819237147595357,0.019400352733686066,0.23633156966490299,0.003527336860670194
BPV,Histophilus,-0.11839323467230436,-0.1599999999999999,0.019400352733686066,0.30864197530864196,0.005291005291005291
BPV,IDV,-0.0089126559714794,-0.009615384615384507,0.019400352733686066,0.09171075837742504,0.001763668430335097
BPV,Mannheimia,0.15775950668036992,0.33478735005452553,0.019400352733686066,0.5379188712522046,0.012345679012345678
BPV,Moraxella,0.1844524380495604,0.548425430778372,0.019400352733686066,0.6701940035273368,0.015873015873015872
BPV,Mycoplasma,0.2460031974420464,0.6361757105943153,0.019400352733686066,0.6208112874779541,0.015873015873015872
BPV,Pasteurella,0.18036998972250762,0.3714285714285713,0.019400352733686066,0.5238095238095238,0.012345679012345678
BRSV,BVDV1,0.620253164556962,0.6225045372050817,0.024691358024691357,0.02821869488536155,0.001763668430335097
BRSV,BrAv,-1.0,-1.0,0.024691358024691357,0.1146384479717813,0.0
BRSV,BrBv,-0.4015151515151514,-0.4614427860696516,0.024691358024691357,0.23633156966490299,0.003527336860670194
BRSV,Histophilus,-0.311046511627907,-0.3890909090909091,0.024691358024691357,0.30864197530864196,0.005291005291005291
BRSV,IDV,0.7620253164556963,0.8182524271844661,0.024691358024691357,0.09171075837742504,0.008818342151675485
BRSV,Mannheimia,0.16736990154711667,0.3532654792196776,0.024691358024691357,0.5379188712522046,0.015873015873015872
BRSV,Moraxella,0.06329113924050644,0.18716577540106985,0.024691358024691357,0.6701940035273368,0.01763668430335097
BRSV,Mycoplasma,0.21518987341772158,0.5534883720930234,0.024691358024691357,0.6208112874779541,0.019400352733686066
BRSV,Pasteurella,-0.04655172413793107,-0.090909090909091,0.024691358024691357,0.5238095238095238,0.012345679012345678
BVDV1,BrAv,0.7931034482758621,0.8705179282868526,0.02821869488536155,0.1146384479717813,0.014109347442680775
BVDV1,BrBv,-0.211354961832061,-0.2543053960964408,0.02821869488536155,0.23633156966490299,0.005291005291005291
BVDV1,Histophilus,0.6902601330913489,0.9702380952380952,0.02821869488536155,0.30864197530864196,0.026455026455026454
BVDV1,IDV,0.7773744706594072,0.8317152103559872,0.02821869488536155,0.09171075837742504,0.010582010582010581
BVDV1,Mannheimia,0.4754990925589836,1.0,0.02821869488536155,0.5379188712522046,0.02821869488536155
BVDV1,Moraxella,0.339382940108893,1.0000000000000002,0.02821869488536155,0.6701940035273368,0.02821869488536155
BVDV1,Mycoplasma,0.39019963702359345,1.0,0.02821869488536155,0.6208112874779541,0.02821869488536155
BVDV1,Pasteurella,0.4900181488203266,1.0,0.02821869488536155,0.5238095238095238,0.02821869488536155
BrAv,BrBv,-0.09897435897435886,-0.11296458882060273,0.1146384479717813,0.23633156966490299,0.024691358024691357
BrAv,Histophilus,0.5899734395750331,0.7555272108843538,0.1146384479717813,0.30864197530864196,0.07407407407407407
BrAv,IDV,0.7334192641199906,0.7149057681324957,0.1146384479717813,0.09171075837742504,0.029982363315696647
BrAv,Mannheimia,0.42426721684689805,0.8129089422028353,0.1146384479717813,0.5379188712522046,0.09876543209876543
BrAv,Moraxella,0.32287244464763903,0.8667484877706674,0.1146384479717813,0.6701940035273368,0.10758377425044091
BrAv,Mycoplasma,0.25298804780876505,0.5906976744186048,0.1146384479717813,0.6208112874779541,0.09171075837742504
BrAv,Pasteurella,0.41733067729083656,0.7759259259259259,0.1146384479717813,0.5238095238095238,0.09523809523809523
BrBv,Histophilus,-0.4614427860696518,-0.48623853211009177,0.23633156966490299,0.30864197530864196,0.04409171075837742
BrBv,IDV,0.6657736720554274,0.5597669902912622,0.23633156966490299,0.09171075837742504,0.04409171075837742
BrBv,Mannheimia,-0.30481060831301665,-0.42016393442622957,0.23633156966490299,0.5379188712522046,0.09523809523809523
BrBv,Moraxella,-0.16541464861124827,-0.31456766917293216,0.23633156966490299,0.6701940035273368,0.13756613756613756
BrBv,Mycoplasma,0.012647091169031078,0.02547065337763003,0.23633156966490299,0.6208112874779541,0.14814814814814814
BrBv,Pasteurella,-0.1474753890123849,-0.2171717171717172,0.23633156966490299,0.5238095238095238,0.10934744268077601
Histophilus,IDV,0.08088235294117652,0.06156482010279843,0.30864197530864196,0.09171075837742504,0.029982363315696647
Histophilus,Mannheimia,0.5954241071428572,0.8908635496183208,0.30864197530864196,0.5379188712522046,0.2821869488536155
Histophilus,Moraxella,0.3992504409171076,0.8369314055588565,0.30864197530864196,0.6701940035273368,0.2857142857142857
Histophilus,Mycoplasma,0.4703859804791483,0.8576339737108191,0.30864197530864196,0.6208112874779541,0.2839506172839506
Histophilus,Pasteurella,0.6428571428571428,0.9333333333333332,0.30864197530864196,0.5238095238095238,0.291005291005291
IDV,Mannheimia,-0.0770609318996417,-0.14098360655737727,0.09171075837742504,0.5379188712522046,0.04585537918871252
IDV,Moraxella,-0.0581356683662158,-0.1452908587257615,0.09171075837742504,0.6701940035273368,0.0582010582010582
IDV,Mycoplasma,0.023948220064725027,0.05736434108527157,0.09171075837742504,0.6208112874779541,0.0582010582010582
IDV,Pasteurella,0.1336047604134043,0.25483870967741934,0.09171075837742504,0.5238095238095238,0.054673721340388004
Mannheimia,Moraxella,0.6439626452611423,0.9022364334674826,0.5379188712522046,0.6701940035273368,0.5132275132275133
Mannheimia,Mycoplasma,0.4847328244274808,0.5906976744186044,0.5379188712522046,0.6208112874779541,0.43033509700176364
Mannheimia,Pasteurella,0.7811450381679386,0.7579999999999997,0.5379188712522046,0.5238095238095238,0.4409171075837742
Moraxella,Mycoplasma,0.4774637127578305,0.4152823920265782,0.6701940035273368,0.6208112874779541,0.49382716049382713
Moraxella,Pasteurella,0.7967914438502672,0.5518518518518519,0.6701940035273368,0.5238095238095238,0.47619047619047616
Mycoplasma,Pasteurella,0.6525106786900804,0.5195918367346938,0.6208112874779541,0.5238095238095238,0.43209876543209874
